Movie Name,Year,Duration,Rating
Indiana Jones and the Last Crusade,1989,127 min,8.2
Finding Nemo,2003,100 min,8.2
Gone with the Wind,1939,238 min,8.2
Unforgiven,1992,130 min,8.2
V for Vendetta,2005,132 min,8.2
Die Hard,1988,132 min,8.2
Pan's Labyrinth,2006,118 min,8.2
The Elephant Man,1980,124 min,8.2
Chinatown,1974,130 min,8.2
Warrior,2011,140 min,8.2
Der Untergang,2004,156 min,8.2
Raging Bull,1980,129 min,8.2
Monty Python and the Holy Grail,1975,91 min,8.2
Some Like It Hot,1959,121 min,8.2
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,117 min,8.2
El secreto de sus ojos,2009,129 min,8.2
The Great Escape,1963,172 min,8.2
Drishyam 2,2022,140 min,8.2
All About Eve,1950,138 min,8.2
Ran,1985,162 min,8.2
Per qualche dollaro in più,1965,132 min,8.2
The Bridge on the River Kwai,1957,161 min,8.2
Tumbbad,2018,104 min,8.2
Dial M for Murder,1954,105 min,8.2
The Treasure of the Sierra Madre,1948,126 min,8.2
Rashômon,1950,88 min,8.2
Baahubali 2: The Conclusion,2017,167 min,8.2
Klaus,2019,96 min,8.2
Gangs of Wasseypur,2012,321 min,8.2
Yôjinbô,1961,110 min,8.2
Andhadhun,2018,139 min,8.2
Drishyam,2015,163 min,8.2
Miracle in Cell No. 7,2019,132 min,8.2
Tôkyô monogatari,1953,136 min,8.2
Z,1969,127 min,8.2
Bacheha-Ye aseman,1997,89 min,8.2
Zindagi Na Milegi Dobara,2011,155 min,8.2
Dersu Uzala,1975,142 min,8.2
Pather Panchali,1955,125 min,8.2
Babam ve Oglum,2005,112 min,8.2
To Be or Not to Be,1942,99 min,8.2
Vikram Vedha,2017,147 min,8.2
K.G.F: Chapter 1,2018,156 min,8.2
"Swades: We, the People",2004,210 min,8.2
La passion de Jeanne d'Arc,1928,110 min,8.2
Le salaire de la peur,1953,131 min,8.2
Uri: The Surgical Strike,2019,138 min,8.2
Sherlock Jr.,1924,45 min,8.2
Umberto D.,1952,89 min,8.2
Bhaag Milkha Bhaag,2013,186 min,8.2
Paan Singh Tomar,2012,135 min,8.2
The Help,2011,146 min,8.1
Prisoners,2013,153 min,8.1
The Grand Budapest Hotel,2014,99 min,8.1
Mad Max: Fury Road,2015,120 min,8.1
Rocky,1976,120 min,8.1
Catch Me If You Can,2002,141 min,8.1
Gone Girl,2014,149 min,8.1
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,8.1
The Big Lebowski,1998,117 min,8.1
Blade Runner,1982,117 min,8.1
The Exorcist,1973,122 min,8.1
Ben-Hur,1959,212 min,8.1
Ford v Ferrari,2019,152 min,8.1
Harry Potter and the Deathly Hallows: Part 2,2011,130 min,8.1
Stand by Me,1986,89 min,8.1
Hacksaw Ridge,2016,139 min,8.1
The Terminator,1984,107 min,8.1
Cool Hand Luke,1967,127 min,8.1
Dead Poets Society,1989,128 min,8.1
The Wizard of Oz,1939,102 min,8.1
Ratatouille,2007,111 min,8.1
Ah-ga-ssi,2016,145 min,8.1
Jaws,1975,124 min,8.1
"Three Billboards Outside Ebbing, Missouri",2017,115 min,8.1
Inside Out,I 2015,95 min,8.1
Trainspotting,1996,93 min,8.1
"Lock, Stock and Two Smoking Barrels",1998,107 min,8.1
Logan,2017,137 min,8.1
Fargo,1996,98 min,8.1
Into the Wild,2007,148 min,8.1
The Sound of Music,1965,172 min,8.1
Spotlight,I 2015,129 min,8.1
Room,I 2015,118 min,8.1
How to Train Your Dragon,2010,98 min,8.1
Salinui chueok,2003,131 min,8.1
"Monsters, Inc.",2001,92 min,8.1
Groundhog Day,1993,101 min,8.1
Before Sunrise,1995,101 min,8.1
The Deer Hunter,1978,183 min,8.1
Platoon,1986,120 min,8.1
Rush,I 2013,123 min,8.1
12 Years a Slave,2013,134 min,8.1
La haine,1995,98 min,8.1
Portrait de la jeune fille en feu,2019,122 min,8.1
Million Dollar Baby,2004,132 min,8.1
Fa Yeung Nin Wah,2000,98 min,8.1
Tonari no Totoro,1988,86 min,8.1
Stalker,1979,162 min,8.1
Gran Torino,2008,116 min,8.1
The Best Years of Our Lives,1946,170 min,8.1
Barry Lyndon,1975,185 min,8.1
Relatos salvajes,2014,122 min,8.1
Hachi: A Dog's Tale,2009,93 min,8.1
Network,1976,121 min,8.1
Koe no katachi,2016,130 min,8.1
Before Sunset,2004,80 min,8.1
"Paris, Texas",1984,145 min,8.1
