Movie Name,Year,Duration,Rating
My Left Foot: The Story of Christy Brown,1989,103 min,7.8
Madeo,2009,129 min,7.8
The Killing Fields,1984,141 min,7.8
Days of Heaven,1978,94 min,7.8
Chugyeokja,2008,125 min,7.8
East of Eden,1955,118 min,7.8
Stagecoach,1939,96 min,7.8
Pride,I 2014,119 min,7.8
Loving Vincent,2017,94 min,7.8
Manhattan,1979,96 min,7.8
Guess Who's Coming to Dinner,1967,108 min,7.8
Frankenstein,1931,70 min,7.8
The Day the Earth Stood Still,1951,92 min,7.8
"Aguirre, der Zorn Gottes",1972,95 min,7.8
Freaks,1932,64 min,7.8
Lilja 4-ever,2002,109 min,7.8
To Have and Have Not,1944,100 min,7.8
Todo sobre mi madre,1999,101 min,7.8
Bride of Frankenstein,1935,75 min,7.8
Hannah and Her Sisters,1986,107 min,7.8
The Man Who Would Be King,1975,129 min,7.8
Duck Soup,1933,69 min,7.8
Jûbê ninpûchô,1993,94 min,7.8
Bringing Up Baby,1938,102 min,7.8
Batman: Mask of the Phantasm,1993,76 min,7.8
Das weiße Band - Eine deutsche Kindergeschichte,2009,144 min,7.8
Un prophète,2009,155 min,7.8
The Lunchbox,2013,104 min,7.8
His Girl Friday,1940,92 min,7.8
Shadow of a Doubt,1943,108 min,7.8
Les parapluies de Cherbourg,1964,91 min,7.8
Cowboy Bebop: Tengoku no tobira,2001,115 min,7.8
Red River,1948,133 min,7.8
The Asphalt Jungle,1950,112 min,7.8
Les choristes,2004,97 min,7.8
Under sandet,2015,100 min,7.8
Dip huet seung hung,1989,111 min,7.8
"I, Daniel Blake",2016,100 min,7.8
The Lady Vanishes,1938,96 min,7.8
The Innocents,1961,100 min,7.8
Le charme discret de la bourgeoisie,1972,102 min,7.8
You Can't Take It with You,1938,126 min,7.8
Tôkyô goddofâzâzu,2003,92 min,7.8
L'avventura,1960,144 min,7.8
Il postino,1994,108 min,7.8
Knockin' on Heaven's Door,1997,87 min,7.8
Soshite chichi ni naru,2013,121 min,7.8
Sennen joyû,2001,87 min,7.8
Vivre sa vie: Film en douze tableaux,1962,80 min,7.8
Crimes and Misdemeanors,1989,104 min,7.8
Bir Zamanlar Anadolu'da,2011,157 min,7.8
Veer-Zaara,2004,192 min,7.8
Hindi Medium,2017,132 min,7.8
A Night at the Opera,1935,96 min,7.8
Vicky Donor,2012,126 min,7.8
English Vinglish,2012,134 min,7.8
Avatar: The Way of Water,2022,192 min,7.7
The Whale,2022,117 min,7.7
The Banshees of Inisherin,2022,114 min,7.7
Aftersun,II 2022,102 min,7.7
The Goonies,1985,114 min,7.7
The Hangover,2009,100 min,7.7
Get Out,I 2017,104 min,7.7
Harry Potter and the Goblet of Fire,2005,157 min,7.7
Deadpool 2,2018,119 min,7.7
Mission: Impossible - Fallout,2018,147 min,7.7
Kingsman: The Secret Service,2014,129 min,7.7
Ex Machina,2014,108 min,7.7
The Magnificent Seven,1960,128 min,7.7
Detachment,2011,98 min,7.7
Airplane!,1980,88 min,7.7
The Bourne Supremacy,2004,108 min,7.7
The Count of Monte Cristo,2002,131 min,7.7
Zodiac,2007,157 min,7.7
Harry Potter and the Deathly Hallows: Part 1,2010,146 min,7.7
Home Alone,1990,103 min,7.7
La vie d'Adèle,2013,180 min,7.7
Argo,2012,120 min,7.7
Primal Fear,1996,129 min,7.7
Tangled,2010,100 min,7.7
Ocean's Eleven,2001,116 min,7.7
The Last Emperor,1987,163 min,7.7
Coraline,2009,100 min,7.7
Wind River,2017,107 min,7.7
Blazing Saddles,1974,93 min,7.7
Lost in Translation,2003,102 min,7.7
Deliverance,1972,109 min,7.7
Crash,I 2004,112 min,7.7
Birdman or (The Unexpected Virtue of Ignorance),2014,119 min,7.7
Brokeback Mountain,2005,134 min,7.7
X: First Class,2011,131 min,7.7
The Last of the Mohicans,1992,112 min,7.7
(500) Days of Summer,2009,95 min,7.7
The Lego Movie,2014,100 min,7.7
En man som heter Ove,2015,116 min,7.7
The Game,1997,129 min,7.7
Black Hawk Down,2001,144 min,7.7
Silver Linings Playbook,2012,122 min,7.7
Blue Velvet,1986,120 min,7.7
Key Largo,1948,100 min,7.7
Training Day,2001,122 min,7.7
Druk,2020,117 min,7.7
Road to Perdition,2002,117 min,7.7
Y tu mamá también,2001,106 min,7.7
Man on Fire,2004,146 min,7.7
Evil Dead II,1987,84 min,7.7
Apollo 13,I 1995,140 min,7.7
First Blood,1982,93 min,7.7
The Machinist,2004,101 min,7.7
Who Framed Roger Rabbit,1988,104 min,7.7
Toy Story 4,2019,100 min,7.7
Wreck-It Ralph,2012,101 min,7.7
A Few Good Men,1992,138 min,7.7
Midnight in Paris,2011,94 min,7.7
As Good as It Gets,1997,139 min,7.7
Halloween,1978,91 min,7.7
The Boondock Saints,1999,108 min,7.7
Empire of the Sun,1987,153 min,7.7
The Boy in the Striped Pajamas,2008,94 min,7.7
Being John Malkovich,1999,113 min,7.7
Gravity,2013,91 min,7.7
"O Brother, Where Art Thou?",2000,107 min,7.7
What's Eating Gilbert Grape,1993,118 min,7.7
"South Park: Bigger, Longer & Uncut",1999,81 min,7.7
Sound of Metal,2019,120 min,7.7
Sense and Sensibility,1995,136 min,7.7
Dirty Harry,1971,102 min,7.7
The Fault in Our Stars,2014,126 min,7.7
The Trial of the Chicago 7,2020,129 min,7.7
Clerks,1994,92 min,7.7
Glengarry Glen Ross,1992,100 min,7.7
When Harry Met Sally...,1989,95 min,7.7
3:10 to Yuma,2007,122 min,7.7
The Color Purple,1985,154 min,7.7
Star Trek Into Darkness,2013,132 min,7.7
Naked,1993,131 min,7.7
Fried Green Tomatoes,1991,130 min,7.7
Donnie Brasco,1997,127 min,7.7
Philadelphia,1993,125 min,7.7
The Theory of Everything,2014,123 min,7.7
Adaptation.,2002,115 min,7.7
Der Name der Rose,1986,130 min,7.7
The French Connection,1971,104 min,7.7
Kung fu,2004,99 min,7.7
Serpico,1973,130 min,7.7
Roma,2018,135 min,7.7
Flipped,I 2010,90 min,7.7
Goldfinger,1964,110 min,7.7
Bonnie and Clyde,1967,111 min,7.7
Ordinary People,1980,124 min,7.7
Star Trek II: The Wrath of Khan,1982,113 min,7.7
Malcolm X,1992,202 min,7.7
La grande bellezza,2013,141 min,7.7
Lucky Number Slevin,2006,110 min,7.7
Billy Elliot,2000,110 min,7.7
Miller's Crossing,1990,115 min,7.7
Kaze tachinu,2013,126 min,7.7
Paprika,2006,90 min,7.7
Lola rennt,1998,81 min,7.7
Belle de jour,1967,100 min,7.7
Ray,I 2004,152 min,7.7
The Verdict,1982,129 min,7.7
Happiness,1998,134 min,7.7
This Is England,2006,101 min,7.7
Kubo and the Two Strings,2016,101 min,7.7
The Longest Day,1962,178 min,7.7
The Quiet Man,1952,129 min,7.7
The Dirty Dozen,1967,150 min,7.7
Short Cuts,1993,188 min,7.7
Fantasia,1940,124 min,7.7
Badlands,1973,94 min,7.7
Le Petit Prince,2015,108 min,7.7
Abre los ojos,1997,119 min,7.7
Finding Neverland,2004,106 min,7.7
Ajeossi,2010,119 min,7.7
Hamlet,1996,242 min,7.7
À bout de souffle,1960,90 min,7.7
Chun gwong cha sit,1997,96 min,7.7
Me and Earl and the Dying Girl,2015,105 min,7.7
Zulu,1964,138 min,7.7
La planète sauvage,1973,72 min,7.7
The African Queen,1951,105 min,7.7
Kurenai no buta,1992,94 min,7.7
Beasts of No Nation,2015,137 min,7.7
Waking Life,2001,99 min,7.7
A Man for All Seasons,1966,120 min,7.7
Cape Fear,1962,106 min,7.7
Omoide no Marnie,2014,103 min,7.7
Perfetti sconosciuti,2016,96 min,7.7
Lat sau san taam,1992,128 min,7.7
Nebraska,2013,115 min,7.7
Spoorloos,1988,107 min,7.7
Good Bye Lenin!,2003,121 min,7.7
La double vie de Véronique,1991,98 min,7.7
Zwartboek,2006,145 min,7.7
Forushande,2016,124 min,7.7
Invasion of the Body Snatchers,1956,80 min,7.7
Scarface,1932,93 min,7.7
Diarios de motocicleta,2004,126 min,7.7
Wait Until Dark,1967,108 min,7.7
Night on Earth,1991,129 min,7.7
The Broken Circle Breakdown,2012,111 min,7.7
Black Narcissus,1947,101 min,7.7
Ondskan,2003,113 min,7.7
Frost/Nixon,2008,122 min,7.7
Ta'm e guilass,1997,95 min,7.7
Hedwig and the Angry Inch,2001,95 min,7.7
Gongdong gyeongbi guyeok JSA,2000,110 min,7.7
Down by Law,1986,107 min,7.7
Adams æbler,2005,94 min,7.7
Les triplettes de Belleville,2003,80 min,7.7
Efter brylluppet,2006,120 min,7.7
Kokuhaku,2010,106 min,7.7
Yume,1990,119 min,7.7
Das Experiment,2001,120 min,7.7
Toki o kakeru shôjo,2006,98 min,7.7
Jules et Jim,1962,105 min,7.7
The Caine Mutiny,1954,124 min,7.7
In America,2002,105 min,7.7
The Breadwinner,2017,94 min,7.7
The Magdalene Sisters,2002,114 min,7.7
The Purple Rose of Cairo,1985,82 min,7.7
Love and Death,1975,85 min,7.7
Joyeux Noël,2005,116 min,7.7
Hana-bi,1997,103 min,7.7
Ma vie de Courgette,2016,66 min,7.7
Le passé,2013,130 min,7.7
Zelig,1983,79 min,7.7
The Muppet Christmas Carol,1992,85 min,7.7
Auf der anderen Seite,2007,122 min,7.7
Harry Potter and the Sorcerer's Stone,2001,152 min,7.6
Once Upon a Time in... Hollywood,2019,161 min,7.6
American Psycho,2000,102 min,7.6
Moana,I 2016,107 min,7.6
Office Space,1999,89 min,7.6
The Birds,1963,119 min,7.6
Moneyball,2011,133 min,7.6
My Cousin Vinny,1992,120 min,7.6
Saw,2004,103 min,7.6
Superbad,2007,113 min,7.6
Sicario,2015,121 min,7.6
The Fifth Element,1997,126 min,7.6
Inside Man,2006,129 min,7.6
300,2006,117 min,7.6
Stardust,2007,127 min,7.6
Guardians of the Galaxy Vol. 2,2017,136 min,7.6
Watchmen,2009,162 min,7.6
Hell or High Water,II 2016,102 min,7.6
Kick-Ass,2010,117 min,7.6
Star Wars: Episode III - Revenge of the Sith,2005,140 min,7.6
A Star Is Born,2018,136 min,7.6
Lethal Weapon,1987,109 min,7.6
The Blind Side,2009,129 min,7.6
Kung Fu Panda,2008,92 min,7.6
Gone Baby Gone,2007,114 min,7.6
The Royal Tenenbaums,2001,110 min,7.6
Minority Report,2002,145 min,7.6
RoboCop,1987,102 min,7.6
The Thin Red Line,1998,170 min,7.6
Searching,III 2018,102 min,7.6
Despicable Me,2010,95 min,7.6
Mulan,1998,87 min,7.6
The Butterfly Effect,2004,113 min,7.6
After Hours,I 1985,97 min,7.6
Serbuan maut,2011,101 min,7.6
Dark City,1998,100 min,7.6
The Fly,1986,96 min,7.6
What We Do in the Shadows,2014,86 min,7.6
La piel que habito,2011,120 min,7.6
Rushmore,1998,93 min,7.6
True Grit,2010,110 min,7.6
The Others,2001,101 min,7.6
The Mitchells vs the Machines,2021,114 min,7.6
Mad Max 2,1981,96 min,7.6
Eastern Promises,2007,100 min,7.6
Dark Waters,2019,126 min,7.6
Dawn of the Planet of the Apes,2014,130 min,7.6
The Jungle Book,1967,78 min,7.6
End of Watch,2012,109 min,7.6
Enter the Dragon,1973,102 min,7.6
The Naked Gun: From the Files of Police Squad!,1988,85 min,7.6
Rebel Without a Cause,1955,111 min,7.6
Gake no ue no Ponyo,2008,101 min,7.6
Snow White and the Seven Dwarfs,1937,83 min,7.6
Match Point,2005,124 min,7.6
Die Hard with a Vengeance,1995,128 min,7.6
The Last King of Scotland,2006,123 min,7.6
Philomena,2013,98 min,7.6
The Bridges of Madison County,1995,135 min,7.6
50/50,2011,100 min,7.6
Seven Pounds,2008,123 min,7.6
21 Grams,2003,124 min,7.6
I Am Sam,2001,132 min,7.6
Sabrina,1954,113 min,7.6
From Here to Eternity,1953,118 min,7.6
Barton Fink,1991,116 min,7.6
25th Hour,2002,135 min,7.6
Un long dimanche de fiançailles,2004,133 min,7.6
The Taking of Pelham One Two Three,1974,104 min,7.6
United 93,2006,111 min,7.6
Control,2007,122 min,7.6
Les yeux sans visage,1960,90 min,7.6
Shine,1996,105 min,7.6
The Invisible Man,1933,71 min,7.6
Celda 211,2009,113 min,7.6
